강원도 동해시 동회동,현대5차,21000.0
강원도 속초시 교동,동부,25000.0
강원도 원주시 단계동,벽산,17000.0
강원도 원주시 단계동,벽산,17000.0
강원도 원주시 단구동,두산,18300.0
강원도 원주시 단구동,두산,24500.0
강원도 원주시 단구동,신성미소지움,29800.0
강원도 원주시 명륜동,대성현대,17500.0
강원도 원주시 명륜동,대성현대,17000.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 태장동,세인트파크아파트,23000.0
강원도 원주시 행구동,건영,17500.0
강원도 원주시 흥업면 흥업리,남원주두산위브,28000.0
강원도 춘천시 동면 만천리,춘천KCC스위첸,29000.0
강원도 춘천시 동면 만천리,한일유앤아이,28500.0
강원도 춘천시 동면 만천리,한일유앤아이,28000.0
강원도 춘천시 동면 만천리,한일유앤아이,29000.0
강원도 춘천시 석사동,석사극동,18200.0
강원도 춘천시 석사동,현대,30000.0
강원도 춘천시 석사동,현대,27500.0
강원도 춘천시 우두동,롯데인벤스,29800.0
강원도 춘천시 우두동,롯데인벤스,29800.0
강원도 춘천시 우두동,롯데인벤스,30000.0
강원도 춘천시 우두동,롯데인벤스,29200.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,25000.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,23000.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,23500.0
강원도 춘천시 퇴계동,금호2차,18500.0
강원도 춘천시 퇴계동,퇴계우성,28200.0
강원도 춘천시 후평동,동아,21500.0
